recipe,paper_outputs,topologies,workloads,group_sizes,algorithms,cc,pfc,irn,timeout_mode,bw,buffer,netload_kind,netload,window_size,rto_high,rto_low,pattern
f7_a2a_base,figure7,leaf_spine_L8_S16_400G_OS1,Alltoall,8,ECMP;ConWeave,dcqcn,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,uniform
f7_a2a_packet,figure7,leaf_spine_L8_S16_400G_OS1,Alltoall,8,DRILL;RPS;AR,dcqcn,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,uniform
f7_a2a_no_cc_other,figure7,leaf_spine_L8_S16_400G_OS1,Alltoall,8,DRILL;RPS,none,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,uniform
f7_a2a_no_cc_ar,figure7;figure10,leaf_spine_L8_S16_400G_OS1,Alltoall,8,AR,none,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,uniform
f7_allreduce_base,figure7,leaf_spine_L8_S16_400G_OS1,RingAllreduce,8,ECMP;ConWeave,dcqcn,1,0,0,400,0.32,target_recv,157286400,1024000,4000,4000,uniform
f7_allreduce_packet,figure7,leaf_spine_L8_S16_400G_OS1,RingAllreduce,8,DRILL;RPS;AR,dcqcn,1,0,0,400,0.32,target_recv,157286400,1024000,4000,4000,uniform
f7_allreduce_no_cc,figure7,leaf_spine_L8_S16_400G_OS1,RingAllreduce,8,DRILL;RPS;AR,none,1,0,0,400,0.32,target_recv,157286400,1024000,4000,4000,uniform
f7_a2av_low_base,figure7;figure8,leaf_spine_L8_S16_400G_OS1,AlltoallV,8,ECMP;ConWeave,dcqcn,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,zipfian_incast
f7_a2av_low_packet,figure7;figure8,leaf_spine_L8_S16_400G_OS1,AlltoallV,8,DRILL;RPS;AR,dcqcn,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,zipfian_incast
f7_a2av_low_no_cc,figure7,leaf_spine_L8_S16_400G_OS1,AlltoallV,8;16,DRILL;RPS;AR,none,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,zipfian_incast
f7_a2av_low_base,figure7,leaf_spine_L8_S16_400G_OS1,AlltoallV,16,ECMP;ConWeave,dcqcn,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,zipfian_incast
f7_a2av_low_packet,figure7,leaf_spine_L8_S16_400G_OS1,AlltoallV,16,DRILL;RPS;AR,dcqcn,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,zipfian_incast
f7_a2av_high_base,figure7;figure8,leaf_spine_L8_S16_400G_OS1,AlltoallV,32,ECMP;ConWeave,dcqcn,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,zipfian_incast
f7_a2av_high_packet,figure7;figure8,leaf_spine_L8_S16_400G_OS1,AlltoallV,32,DRILL;RPS;AR,dcqcn,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,zipfian_incast
f7_a2av_high_base,figure7,leaf_spine_L8_S16_400G_OS1,AlltoallV,64,ECMP;ConWeave,dcqcn,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,zipfian_incast
f7_a2av_high_packet,figure7,leaf_spine_L8_S16_400G_OS1,AlltoallV,64,DRILL;RPS;AR,dcqcn,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,zipfian_incast
f7_a2av_128_base,figure7;figure8,leaf_spine_L8_S16_400G_OS1,AlltoallV,128,ECMP;ConWeave,dcqcn,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,zipfian_incast
f7_a2av_128_packet,figure7;figure8,leaf_spine_L8_S16_400G_OS1,AlltoallV,128,DRILL;RPS;AR,dcqcn,1,0,0,400,0.32,target_recv,157286400,404000,4000,4000,zipfian_incast
pfc_dcn_workloads,figure8,leaf_spine_L8_S16_100G_OS1,FbHdp2015;Solar2022;AliStorage2019,1,AR,dcqcn,1,0,0,100,0,percent,80,104000,4096,4096,uniform
f9_t5_base,figure9;table5,leaf_spine_L8_S16_100G_OS1,AliStorage2019,1,ECMP;ConWeave,dcqcn,1,0,0,100,0,percent,80,104000,4000,4000,uniform
f9_t5_packet,figure9;table5,leaf_spine_L8_S16_100G_OS1,AliStorage2019,1,DRILL;RPS;AR,dcqcn,1,0,0,100,0,percent,80,104000,4000,4000,uniform
f11_baseline,figure11;table6,leaf_spine_L8_S16_100G_OS1,AliStorage2019,1,ECMP;ConWeave,dcqcn,0,1,0,100,0,percent,80,104000,320,100,uniform
f11_ar_rto,figure11;table6,leaf_spine_L8_S16_100G_OS1,AliStorage2019,1,AR,dcqcn,0,1,2,100,0,percent,80,104000,320,100,uniform
f11_ar_trim,figure11,leaf_spine_L8_S16_100G_OS1,AliStorage2019,1,AR,dcqcn,0,2,0;2,100,0,percent,80,104000,320,100,uniform
f12_baseline,figure12;table7,fat_k8_100G_OS1,AliStorage2019,1,ECMP,dcqcn,0,1,0,100,0,percent,80,156000,320,100,uniform
f12_baseline,figure12,fat_k8_100G_OS1,AliStorage2019,1,ConWeave,dcqcn,0,1,0,100,0,percent,80,156000,320,100,uniform
f12_drill_rto,figure12,fat_k8_100G_OS1,AliStorage2019,1,DRILL,dcqcn,0,1,2,100,0,percent,80,156000,320,100,uniform
f12_ar_rto,figure12;table7,fat_k8_100G_OS1,AliStorage2019,1,AR,dcqcn,0,1,2;1,100,0,percent,80,156000,320,100,uniform
f12_ar_trim,figure12;table7,fat_k8_100G_OS1,AliStorage2019,1,AR,dcqcn,0,2,0;1,100,0,percent,80,156000,320,100,uniform
f13_a2a_base,figure13,leaf_spine_L8_S16_400G_OS1,Alltoall,8,ECMP;ConWeave,dcqcn,0,1,0,400,0.32,target_recv,157286400,404000,320,100,uniform
f13_allreduce_base,figure13,leaf_spine_L8_S16_400G_OS1,RingAllreduce,8,ECMP;ConWeave,dcqcn,0,1,0,400,0.32,target_recv,157286400,1024000,320,100,uniform
f13_a2a_packet,figure13,leaf_spine_L8_S16_400G_OS1,Alltoall,8,DRILL;RPS;AR,dcqcn,0,1,2,400,0.32,target_recv,157286400,404000,320,100,uniform
f13_allreduce_packet,figure13,leaf_spine_L8_S16_400G_OS1,RingAllreduce,8,DRILL;RPS;AR,dcqcn,0,1,2,400,0.32,target_recv,157286400,1024000,320,100,uniform
f13_a2av_base,figure13,leaf_spine_L8_S16_400G_OS1,AlltoallV,8;16;32;64;128,ECMP;ConWeave,dcqcn,0,1,0,400,0.32,target_recv,157286400,404000,320,100,zipfian_incast
f13_a2av_packet,figure13,leaf_spine_L8_S16_400G_OS1,AlltoallV,8;16;32;64;128,DRILL;RPS;AR,dcqcn,0,1,2,400,0.32,target_recv,157286400,404000,320,100,zipfian_incast
f13_a2av_trim,figure13,leaf_spine_L8_S16_400G_OS1,AlltoallV,32;64;128,AR,dcqcn,0,2,0,400,0.32,target_recv,157286400,404000,320,100,zipfian_incast
f13_a2av_reduction,figure13,leaf_spine_L8_S16_400G_OS1,AlltoallV,32;64;128,AR,dcqcn,0,1,8;32;128,400,0.32,target_recv,157286400,404000,320,100,zipfian_incast
f14_baseline,figure14,leafspine_L8_S16_100G_AsymFail1pct_OS1;leafspine_L8_S16_100G_AsymFail10pct_OS1;leafspine_L8_S16_100G_AsymBw20pct_R0.5_OS1;leafspine_L8_S16_100G_AsymBw10pct_R0.5_OS1,FbHdp2015,1,ECMP;ConWeave,dcqcn,0,1,0,100,0,percent,80,104000,320,100,uniform
